euringNumber,family,species,commonName
26610,Psittacula,eupatria,Alexandersittich
10940,Prunella,collaris,Alpenbraunelle
15580,Pyrrhocorax,graculus,Alpendohle
3300,Lagopus,muta,Alpenschneehuhn
7980,Apus,melba,Alpensegler 
5120,Calidris,alpina,Alpenstrandläufer
11870,Turdus,merula,Amsel 
3350,Tetrao,urogallus,Auerhuhn 
4500,Haematopus,ostralegus,Austernfischer
10200,Motacilla,alba,Bachstelze 
13640,Panurus,biarmicus,Bartmeise
710,Sula,bassana,Basstölpel 
3100,Falco,subbuteo,Baumfalke
10090,Anthus,trivialis,Baumpieper
5190,Gallinago,gallinago,Bekassine
2040,Aythya,marila,Bergente
16380,Fringilla,montifringilla,Bergfink
13070,Phylloscopus,bonelli,Berglaubsänger 
10141,Anthus,spinoletta,Bergpieper
14900,Remiz,pendulinus,Beutelmeise
8400,Merops,apiaster,Bienenfresser 
16650,Loxia,bifasciata,Bindenkreuzschnabel
16630,Carduelis,flammea,Birkenzeisig
3320,Tetrao,tetrix,Birkhuhn 
1590,Anser,albifrons,Blässgans
4290,Fulica,atra,Blässhuhn
11060,Luscinia,svecica,Blaukehlchen
14620,Parus,caeruleus,Blaumeise 
8410,Coracias,garrulus,Blauracke 
16600,Carduelis,cannabina,Bluthänfling
10050,Anthus,campestris,Brachpieper
1730,Tadorna,tadorna,Brandgans 
6110,Sterna,sandvicensis,Brandseeschwalbe 
11370,Saxicola,rubetra,Braunkehlchen
1770,Aix,sponsa,Brautente
5540,Tringa,glareola,Bruchwasserläufer
16360,Fringilla,coelebs,Buchfink 
8760,Dendrocopos,major,Buntspecht
20230,Phoenicopterus,chilensis,Chileflamingo
15600,Coloeus,monedula,Dohle
5200,Gallinago,media,Doppelschnepfe
12750,Sylvia,communis,Dorngrasmücke 
6020,Rissa,tridactyla,Dreizehenmöwe
8980,Picoides,tridactylus,Dreizehenspecht
12530,Acrocephalus,arundinaceus,Drosselrohrsänger
15390,Garrulus,glandarius,Eichelhäher 
2060,Somateria,mollissima,Eiderente
220,Fulmarus,glacialis,Eissturmvogel
8310,Alcedo,atthis,Eisvogel
15490,Pica,pica,Elster
16540,Carduelis,spinus,Erlenzeisig 
9760,Alauda,arvensis,Feldlerche
12360,Locustella,naevia,Feldschwirl
15980,Passer,montanus,Feldsperling
9910,Ptyonoprogne,rupestris,Felsenschwalbe
16660,Loxia,curvirostra,Fichtenkreuzschnabel 
3010,Pandion,haliaetus,Fischadler 
13120,Phylloscopus,trochilus,Fitis 
4690,Charadrius,dubius,Flussregenpfeifer
6150,Sterna,hirundo,Flussseeschwalbe 
5560,Actitis,hypoleucos,Flussuferläufer
2230,Mergus,merganser,Gänsesäger 
14870,Certhia,brachydactyla,Gartenbaumläufer 
12760,Sylvia,borin,Gartengrasmücke 
11220,Phoenicurus,phoenicurus,Gartenrotschwanz
10190,Motacilla,cinerea,Gebirgsstelze
12590,Hippolais,icterina,Gelbspötter
17100,Pyrrhula,pyrrhula,Gimpel 
16400,Serinus,serinus,Girlitz
18570,Emberiza,citrinella,Goldammer
4850,Pluvialis,apricaria,Goldregenpfeifer
18820,Emberiza,calandra,Grauammer
1610,Anser,anser,Graugans
1220,Ardea,cinerea,Graureiher
13350,Muscicapa,striata,Grauschnäpper
8550,Picus,canus,Grauspecht
5410,Numenius,arquata,Großer Brachvogel
4460,Otis,tarda,Großtrappe
16490,Carduelis,chloris,Grünfink 
12930,Phylloscopus,trochiloides,Grünlaubsänger 
5480,Tringa,nebularia,Grünschenkel
8560,Picus,viridis,Grünspecht
2670,Accipiter,gentilis,Habicht 
7650,Strix,uralensis,Habichtskauz 
13480,Ficedula,albicollis,Halsbandschnäpper 
7120,Psittacula,krameri,Halsbandsittich
3260,Tetrastes,bonasia,Haselhuhn 
9720,Galerida,cristata,Haubenlerche 
14540,Parus,cristatus,Haubenmeise 
90,Podiceps,cristatus,Haubentaucher
11210,Phoenicurus,ochruros,Hausrotschwanz
15910,Passer,domesticus,Haussperling
10840,Prunella,modularis,Heckenbraunelle 
9740,Lullula,arborea,Heidelerche
5910,Larus,fuscus,Heringsmöwe
1520,Cygnus,olor,Höckerschwan
6680,Columba,oenas,Hohltaube 
3940,Phasianus,colchicus,Jagdfasan
5170,Philomachus,pugnax,Kampfläufer 
1660,Branta,canadensis,Kanadagans
16790,Carpodacus,erythrinus,Karmingimpel
17170,Coccothraustes,coccothraustes,Kernbeißer 
4930,Vanellus,vanellus,Kiebitz 
16680,Loxia,pytyopsittacus,Kiefernkreuzschnabel
12740,Sylvia,curruca,Klappergrasmücke 
14790,Sitta,europaea,Kleiber
4100,Porzana,parva,Kleines Sumpfhuhn 
8870,Dryobates,minor,Kleinspecht
1910,Anas,querquedula,Knäkente
14640,Parus,major,Kohlmeise 
1960,Netta,rufina,Kolbenente 
15720,Corvus,corax,Kolkrabe 
720,Phalacrocorax,carbo,Kormoran
2610,Circus,cyaneus,Kornweihe
4330,Grus,grus,Kranich
1840,Anas,crecca,Krickente
7240,Cuculus,canorus,Kuckuck
6160,Sterna,paradisaea,Küstenseeschwalbe 
5820,Larus,ridibundus,Lachmöwe
6050,Gelochelidon,nilotica,Lachseeschwalbe
1940,Anas,clypeata,Löffelente
1440,Platalea,leucorodia,Löffler
1780,Aix,galericulata,Mandarinente
6000,Larus,marinus,Mantelmöwe
